company,addressfull,county,jobs,date_effective,closure_or_layoff
"DAS Companies, Inc.","1875 Zeager Road, Elizabethtown, PA  17022, 48 Industrial Road, Elizabethtown, PA  17022, 724 Lawn Road, Palmyra, PA  17078",Lancaster & Lebanon,100,12/31/2024,Layoff
"Bowery Farming, Inc.","1025 Feather Way, Bethlehem, PA  18015",Northampton,104,11/1/2024,Layoff
Devon Seafood Grill,"225 South 18th Street, Philadelphia, PA  19103",Philadelphia,76,beginning:  1/1/2025; ending:  1/3/2025,Closure
"Red Ribbon Bakeshop, Inc.","2201 Cottman Avenue, Suite 113, Philadelphia, PA  19152",Philadelphia,9,11/30/2024,Closure
"Great Dane, LLC","891 Strick Road, Danville, PA  17821",Montour,155,1/6/2025,Layoff
VF Corporation,"1515 Walnut Street, Philadelphia, PA  19102",Philadelphia,17,Layoffs:  1/25/2025; Closure:  1/31/2025,Closing
Sharon Regional Medical Center,"740 East State Street, Sharon, PA  16148",Mercer,149,1/6/2025,Closing
"Tatano Wire Products, LLC","714 Braddock View Drive, Lemont Furnace, PA  15456",Fayette,27,2/14/2025,Closing
Hard Rock Cafe,"230 West Station Square Drive, Pittsburgh, PA  15219",Allegheny,55,2/14/2025,Closing
Sharon Regional Medical Center,"(*NOTE: Addtional notice covering line staff; previous notice covered professional staff members), 740 East State Street, Sharon, PA  16148",Mercer,699,1/6/2025,Closing
"FedEx Supply Chain, Inc.","2901 Black Ridge Road, York, PA  17406",York,70,2/17/2025 through 3/3/2025,Layoff
VF Coporation,"1702 Walnut Street, Philadelphia, PA  19102",Philadelphia,12,Layoff date:  2/18/2025; Closure date:  2/21/2025,Closing
"VIMO, Inc.",Various locations nationwide,Various,430 nationwide; unknown number of PA residents impacted,2/19/2025,Layoff
"Big Lots, Inc.","50 Rausch Creek Road, Tremont, PA  17981",Schuylkill,505,beginning:   1/6/2025; completed:   3/31/2025,Layoff
"Joriki USA, Inc.","575 Research Drive, Pittston, PA  18640",Luzerne,226,12/31/2024,Closing
"D&A Consulting Service, LLC",Various locations,Various,14 Pennsylvania residents,2/19/2025,Layoff
Amazon,"17 William Drive, Imperial, PA  15126",Allegheny,432,3/12/25,Layoff
Macy's Inc.,"1300 Market Street, Philadelphia, PA  19107",Philadelphia,128,beginning:  3/18/25; ending:  3/31/25,Closing
Thomas Jefferson University Hospital,"1101 Market Street,  23rd Floor, Philadelphia, PA  19107",Philadelphia,171,3/10/25,Layoff
"National Distribution Centers, LLC","3419 Ritner Highway, Newville, PA  17241",Cumberland,385,3/8/25,Layoff
"GXO Warehouse Company, Inc.","336 Heinz Street, Mechanicsburg, PA  17055",Cumberland,85,3/12/25,Closing
Alpha & Omega Logistics Corporation,"516 North Bethlehem Pike, Ambler, PA  19002",Montgomery,110,1/10/25,Closing
Custom Glass Solutions,"2175 Kumry Road, Trumbauersville, PA  18970",Bucks,105,4/30/25,Closing
"pladis North America, Inc.","11 Main Street, Mohnton, PA  19540",Berks,55,5/29/25,Closing
"Household Metals, Inc.","645 East Erie Avenue, Philadelphia, PA  19134",Philadelphia,71,4/28/25,Closing
Mulherin's Pizzeria,"1175 Ludlow Street, Philadelphia, PA  19102",Philadelphia,39,4/16/25,Closing
"Church World Service (CWS), Inc.","308 East King Street, Lancaster, PA  17602",Lancaster,65,1/31/25-3/31/25,Layoff
"Cargill Cocoa & Chocolate, Inc.","400 Stony Creek Road, Hazle Township, PA  18202",Luzerne,102,5/26/25-5/30/25,Closing
S&S Activewear,"600 Industrial Drive, Lewisberry, PA  17339",York,218,4/9/25-10/15/25,Closing
International Paper,"533 Forest Road, Hazelton, PA  18202",Luzerne,107,4/14/25,Closing
"GXO Logistics Supply Chain, Inc.","200 Capital Lane, Middletown, PA  17507",Dauphin,91,4/15/25,Closing
Arway Uniform and Linen Rentals,"1696 Foulkrod Street, Philadelphia, PA  19102",Philadelphia,85,2/2/25,Closing
"Forever 21 OpCo, LLC","1706 Franklin Mills Circle, Philadelphia, PA  19102, 907-937A Market Street, Philadelphia, PA  19102",Philadelphia,36,4/23/25; ending:   5/7/25,Closing
"Philips Respironics, Inc.","174 Tech Center Drive, Mount Pleasant, PA  15666",Westmoreland,14,5/23/2025,Layoff
"Wilson Creek Energy, LLC","Ten locations within Somerset County, PA, One location within Garrett County, MD","Somerset County, PA; Garrett County, MD",332,3/28/25,Closing
"Merck & Co., Inc.","100 Avenue C, Riverside, PA  17868",Montour,163,first round -- 5/16 through 5/30; second round -- 6/23 through 7/7; final round -- sometime in 2026,Closing
"SPS Technologies, LLC","301 Highland Avenue, Jenkintown, PA  19046",Montgomery,251,5/18/25,Layoff
"BH Security, LLC (d/b/a Brinks Home)",Various locations throughout the Commonwealth,Various counties,42,6/30/25,Layoff
"Universal Protection Service, LLC","161 Washington Street, Suite 600, Conshohocken, PA  19428",Montgomery,72,"May 19, 23, 30 ... June 6, 20, 27 ... July 11, 18 ... August 8, 22, 29 ... September 12",Layoff
"Torrid, LLC","1001 Market Street, Space 2030, Philadelphia, PA  19107",Philadelphia,8,5/19/2025,Layoff
Hart to Heart Transportation,"2502 Wheatsheaf Lane, Philadelphia, PA  19137",Philadelphia,124,beginning:   3/24/2025; ending:   4/12/2025,Closing
Statewide Automotive,"1844 West Sedgley Avenue, Philadelphia, PA  19132",Philadelphia,5,beginning:   3/24/2025; ending:   4/12/2025,Closing
"Instant Web, LLC","100 Industrial Drive, Hamburg, PA  19526",Berks,298,6/27/2025 - 12/31/2025,Closure
Chartwells,"1000 Indian Rock Dam Road, York, PA  17403",York,6,6/6/2025,Layoff
"Spark Therapeutics, Inc.","2929 Arch Street, Philadelphia, PA  19104, 3025 Market Street, Philadelphia, PA  19104, 3737 Market Street, Philadelphia, PA  19104",Philadelphia,298,first wave - 5/9/2025 impacting 124 workers ... second wave - 7/1/2025 impacting 112 workers ... final wave ending  - 12/31/2025 impacting 62 workers,Layoff
Wawa,"6506 Frankford Avenue, Philadelphia, PA  19149, 6919 Castor Avenue, Philadelphia, PA  19149",Philadelphia,unknown,4/22/2025 for Frankford Avenue location ... 4/24/2025 for Castor Avenue location,Closing
"Corelle Brands, LLC","12000 Molly Pritcher Highway, Greencastle, PA  17225",Franklin,323,first wave - 6/9/2025 impacting 192 workers ... second wave - 9/30/2025 impacting 106 workers ... final wave ending  - 11/17/2025 impacting 25 workers,Closing
Crozer Health,Eight various locations,Delaware and Chester,"2,651",beginning 4/25/25; ending 5/2/25,Closing
"Med-Metrix, LLC","1 Medical Center Boulevard, Upland, PA  19013",Delaware,142,6/20/2025,Closing
"Krise Transportation, Inc.","35 School Bus Lane, Lewistown, PA  17044  (50 affected), 33 Commerce Drive, Milroy, PA  17063  (20 affected)",Mifflin,70,6/30/2025,Layoff
"Bakery Barn, LLC","111 Terence Drive, Pittsburgh, PA  15236",Allegheny,82,8/1/2025,Closing
"Ryder Integrated Logistics, Inc.","30 Ludwig Court, Shoemakersville, PA  19555",Berks,76,8/1/2025 - 12/31/2025,Closing
First Student Lewisberry,"531 Fishing Creek Road, Lewisberry, PA  17339",York,81,6/30/2025,Layoff
"Law Practice of Lavin, Cedrone, Graver, Boyd & Disipio","190 North Independence Mall West, Suite 500, Philadelphia, PA  19106",Philadelphia,49,6/30/2025,Closing
"Leviathan Energy, L.P.","501 Technology Drive, Suite 1200, Canonsburg, PA  15317, 2660 Monroeville Boulevard, Monroeville, PA  15146",Washington and Allegheny,105,7/1/2025 - 7/15/2025,Closing
Suburban Community Hospital,"2701 Dekalb Pike East, Norristown, PA  19401",Montgomery,109,7/5/2025,Layoff
"Cleveland-Cliffs, Inc.","215 South Front Street, Steelton, PA  17113",Dauphin,559,6/30/2025,Layoff
Rite-Aid,"200 Newberry Commons, Etters, PA  17319, 1200 Intrepid Avenue, Suite 2, Philadelphia, PA  19112",York and Philadelphia,501 @ Etters location; 595 @ Philadelphia location,5/5/2025 @ Etters location; 6/4/2025 @ Philadelphia location,Layoff
"TransAxle, LLC","22073 Perry Highway, Zelienople, PA  16063",Butler,9 Pennsylvania workers (209 total),Beginning:  7/15/25; Ending:  7/29/25,Layoff
"Cleveland Cliffs Plate, LLC","900 Conshohocken Road, Conshohocken, PA  19428",Montgomery,107,6/30/25,Layoff
SpiriTrust Lutheran,"2700 Luther Drive, Chambersburg, PA  17202",Franklin,Unknown,7/18/25,Closing
"Weaber, Inc.","11117 Skyline Drive, Titusville, PA  16354",Crawford,46,8/25/2025 - 9/8/2025,Closing
"IG Design Group Americas, Inc.","Locations:, 2015 West Front Street, Berwick, PA 18603, 9th Street and Bomboy Lane, Berwick, PA 18603, 3rd and Oak Street, Berwick, PA 18603",Columbia,380,8/26/2025,Closure
"Compass Group USA, Inc.","125 Walnut Street, Philadelphia, PA  19103",Philadelphia,110,8/9/2025,Closing
"Internation Timber and Veneer, L.C.","75 McQuiston Drive, Jackson Center, PA  16133",Mercer,81,8/18/2025,Closing
Del Frisco's Grille,"225 South Broad Street, Philadelphia, PA  19107",Philadelphia,51,beginning 7/31/25; ending 8/3/25,Closing
Tmunity Therapeutics,"3020 Market Street, Suite 535, Philadelphia, PA  19104, 2929 Arch Street, Suite 1800, Philadelphia, PA  19104",Philadelphia,14,beginning 1/17/25; ending 6/30/25,Closing
Pittsburgh Job Corps Center,"7175 Highland Drive, Pittsburgh, PA  15206",Allegheny,180,beginning 6/13/25; ending 6/30/25,Closing
"Natural Foods, Inc.","4255 East Independence Drive, Schnecksville, PA  18078",Lehigh,716,beginning 8/12/25; ending 10/18/25,Layoff
"Tyson Warehousing Services, LLC","110 Keystone Boulevard East, Pottsville, PA  17901",Schuylkill,314,8/15/2025,Layoff
"PPG Industries, Inc.","47 Park Avenue, Elverson, PA  19520",Chester,82,beginning 8/18/2025; ending 12/31/2026,Closing
ACC Premiere,"948 Plaza Drive, Suite 1, Montoursville, PA  17754",Lycoming,67,9/19/2025,Layoff
"Alloy Surfaces Company, Inc.","121 North Commerce Drive, Chester Township, PA  19014",Delaware,52,8/30/2025 - 12/31/2025,Closing
Carson Valley Children's Aid,"15 &71 West Wissahickon Avenue, Flourtown, PA  19031 (51 employees impacted), 2300 West Allegheny Avenue, Philadelphia, PA  19132 (33 employees impacted), 800 West Olney Avenue, Philadelphia, PA  19120 (10 employees impacted), 1314 DeKalb Street, Norristown, PA  19401 (2 employees impacted)",Montgomery and Philadelphia,96,beginning 9/1/2025; ending 9/15/2025,Closure
"Century Therapeutics, LLC","25 North 38th Street, Philadelphia, PA 19104",Philadelphia,72 (54 PA residents impacted),7/11/2025,Layoff
"Weaber, Inc.","25 Keystone Drive, Lebanon, PA  17042",Lebanon,145,beginning 8/26/2025; ending 9/9/2025,Layoff
"Comprehensive Logistics, Inc.","609 Memory Lane, York, PA  17402",York,365,9/25/2025,Layoff
"Inmar Supply Chain Solutions, LLC","8150 Industrial Boulevard, Breinigsville, PA  18031",Lehigh,101,10/10/2025,Closing
"PrimeCare Medical, Inc.","@ York County Prison, 3400 Concord Road, York, PA  17402",York,50,9/30/2025,Layoff
"PosiGen Developer, LLC","400 Davis Drive, Suite 400, Plymouth Meeting, PA  19462, 241 East Elm Street, Conshohocken, PA  19428",Montgomery,49,8/24/2025,Layoff
HMS Host (located within the Philadelphia International Airport),"Starbucks, 8500 Essington Avenue, Philadelphia, PA  19153, Balducci's, 8500 Essington Avenue, Philadelphia, PA  19153",Philadelphia,13,10/27/2025,Layoff
Trujacodi Delivery Express,"2900 Grant Avenue, Philadelphia, PA  19114",Philadelphia,42,9/12/2025,Closure
CJB Logistics,"6901 Elmwood Avenue, Philadelphia, PA  19102",Philadelphia,101,11/16/2025,Closure
"Air Products and Chemicals, Inc.","7331 William Avenue, Suite 300, Allentown, PA  18106",Lehigh,14,11/17/2025,Layoff
"National Fulfillment Services, LLC","105 Commerce Drive, Aston, PA  19014",Delaware,45,11/15/2025,Closing
DHL Supply Chain,"3893 Courtney Street, Bethlehem, PA  18017",Northampton,66,2/28/26,Closing
"Owens and Minor Halyard, Inc.","500 Independence Avenue, Mechanicsburg, PA  17055",Cumberland,75,11/28/25,Layoff
Packaging Corporation of America,"7451 Cetronia Road, Allentown, PA  18106, 7620 Cetronia Road, Allentown, PA  18106",Lehigh,60 total,12/1/2025,Closure
"Vifor Pharma, Inc.","1000 First Avenue, Suite 300, King of Prussia, PA  19406",Montgomery,55,12/1/2025,Layoff
Starbucks,"1500 Market Street, Philadelphia, PA  19102, 1900 Market Street, Philadelphia, PA  19103, 1128 Walnut Street, Philadelphia, PA  19107, 1801 Spruce Street, Philadelphia, PA  19107, 490 North Broad Street, Philadelphia, PA  19107, 1709 Chestnut Street, Philadelphia, PA  19103",Philadelphia,Unknown,12/5/2025,Closing
"Fourth Street Barbecue, Inc.","3 Arentzen Boulevard, Charleroi, PA  15022",Washington,252,beginning 10/9/25; ending 10/31/25,Closing
"Morgan Truck Body, LLC","485 Wenger Drive, Ephrata, PA  17522",Lancaster,92,12/15/2025,Closing
"Travel + Leisure Resort Development, Inc.","5255 Buttermilk Falls Road, Shawnee-on-Delaware, PA  18301",Monroe,124,12/31/2025,Closing
"Peraton, Inc.","1250 Camp Hill Bypass, Camp Hill, PA  17011",Cumberland,153,12/13/2025,Layoff
Allen Distribution,"7058 Snowdrift Road, Allentown, PA  18106",Lehigh,70,12/26/2025,Closing
Oak View Group,"150 Rouse Boulevard, Philadelphia, PA  19112",Philadelphia,TBD,12/31/25,Layoff
"Respironics, Inc.","174 Tech Center Drive, Mount Pleasant, PA , 312 Alvin Drive, New Kensington, PA, 1001 Murry Ridge Lane, Murrysville, PA",Westmoreland,196,Beginning:   12/31/2025; Ending:   6/30/2026,Layoff
Chick-fil-A,"8500 Essington Avenue, Philadelphia, PA  19153",Philadelphia,49,12/30/2025,Closure
"Keen Transport, Inc.","1951 Harrisburg Pike, Carlisle, PA  17015",Cumberland,52,1/20/2026,Layoff
"Taste, Inc.","8500 Essington Avenue, Philadelphia, PA  19153 (Philadelphia International Airport)",Philadelphia,10,2/5/2026,Closure
"Prysmian Cables and Systems, USA","1 Tamaqua Boulevard, Schuylkill Haven, PA  17972",Schuylkill,150,1/1/2026-12/31/2027,Closure
Pottstown Hospital,"1600 East High Street, Pottstown, PA  19464",Montgomery,131,1/1/2026,Layoff
"DuBois Logistics, LLC","891 Beaver Drive, DuBois, PA  15801",Clearfield,110,Beginning 1/31/2026; Ending 2/28/2026,Closure
BIOLYST Scientific,"1560 Industry Road, Hatfield, PA  19440",Montgomery,76,Beginning 1/12/2026; Ending 1/26/2026,Closure
"GXO Logistics Worldwide, LLC","100 Carolina Way, Carlisle, PA  17015",Cumberland,69,Beginning 1/12/2026; Ending 5/30/2026,Layoff
Crothall and Morrison Healthcare,"3400 Spruce Street, Philadelphia, PA  19104 (Penn Medicine)",Philadelphia,795,2/1/2026,Layoff
PA Potato Chip Manufacturing LLC,"1313 Stadium Street, Berlin, PA  15530",Somerset,96,beginning 2/13/2026; ending 12/31/2026,Closing
S&S Activewear,"600 Industrial Drive, Lewisberry, PA  17339",York,128,beginning 12/4/2025; ending 4/1/2026,Closing
"Adare Pharmaceuticals, Inc.","1100 Orthodox Street, Philadelphia, PA  19124",Philadelphia,137,beginning 3/1/2026; ending 6/30/2026,Closing
Engineered Materials Solutions,"600 Valley Road, Hamburg, PA  19526",Berks,58,beginning 1/2/2026; ending 10/31/2026,Closing
"Great Dane, LLC","207 Progress Road, Elysburg, PA  17824",Northumberland,164,2/2/2026,Layoff
"GIANT Company, LLC","3501 Island Avenue, Philadelphia, PA  19153",Philadelphia,128,2/13/2026,Closing
"GIANT Company, LLC","235 North Reservoir Street, Lancaster, PA  17602",Lancaster,76,2/27/2026,Closing
"First Brands Group, LLC, d/b/a Eagle Castings","447 East Middle Street, Hanover, PA  17331",York,73,beginning 2/27/2026; ending 3/31/2026,Closing
Miller's Ale House,"9495 East Roosevelt Boulevard, Philadelphia, PA 19114",Philadelphia,49,3/30/26,Closing
"AVI Foodsystems, Inc.","2400 Spruce Street & 1 Convention Avenue, Philadelphia, PA 19104",Philadelphia,297,2/1/26,Closing
"The GIANT Company, LLC.","216 East Fairmont Street, Coopersburg, PA 18036",Montgomery,105,4/3/26,Closing
"PrimeFlight Aviation Services, Inc.","8500 Essington Avenue, Philadelphia, PA  19153 (Philadelphia International Airport)",Philadelphia,68,3/9/26,Layoff
French Creek Recovery Center,"535 Williamson Road, Meadville, PA  16335",Crawford,59,3/15/26,Closing
"ALPEK Polyester USA, LLC","4030 Pottsville Pike, Reading, PA 19605",Berks,100,3/15/26,Closing
BPM Limited,"1300 Morris Drive, Chesterbrook, PA 19087",Chester,148,"Beginning 3/29/26, ending 9/30/26",Layoff
Amazon Fresh,"555 Spring Garden St Philadelphia, PA 19123 (approx. 205 employees affected), 1837 Street Rd Bensalem, PA 19020 (approx. 161 employees affected), 389 Easton Road Warrington, PA 18976 (approx. 144 employees affected), 102 Park Ave Willow Grove, PA 19090 (approx. 127 employees affected), 2924 Springfield Rd Broomall, PA 19008 (approx. 189 employees affected), 2424 E. Lincoln Hwy Langhorne, PA 19047 (approx. 157 employees affected)","Bucks, Delaware, Montgomery and Philadelphia",983,4/28/26,Layoff
BPM Limited,"**UPDATED TO REVISE AFFECTED TOTAL**, 1300 Morris Drive, Chesterbrook, PA  19087",Chester,248,beginning 3/29/26; ending 9/30/26,Layoff
White Deer Run Allenwood,"360 White Deer Run Road, Allenwood, PA  17810",Union,31,4/5/2026,Layoff
Saks Fifth Avenue,"2 Bala Plaza, Bala Cynwyd, PA  19004",Montgomery,50,4/11/2026,Closure
Saks Fifth Avenue,"250 Highland Park Boulevard, Wilkes Barre, PA  18702",Luzerne,155,beginning 4/11/2026; ending 4/30/2026,Closure
"Everett Foodliner, Inc. and Saxton Market, Inc.","Everett Foodliner, Inc.  - 64 Employees, 250 W. Main Street , Everett, PA  15537, County: Bedford, Closure             , Layoff Date -- 04/20/26                              , Saxton Market, Inc. -- 58 Employees, 509 Main Street, Saxton, PA  16678, County: Bedford, Closure, Layoff Date -- 04/20/26",,,,
"Green Leaf Medicals, LLC","1100 Horton Drive, Saxton, PA  16678",Bedford,52,4/18/2026,Closure
"Post Consumer Brands, LLC","6650 Low Street, Bloomsburg, PA  17815",Columbia,11,5/1/2026,Layoff
Bradford Regional Medical Center,"116 Interstate Parkway, Bradford, PA  16701",McKean,238,beginning 5/2/26; ending 5/17/26,Closing
"PharmaCann, Inc.","111 Life Science Drive, Olyphant, PA 18447",Lackawanna,60,5/20/26,Closing
Liberty Home Choices,"112 North 8th Street, Suite 600, Philadelphia, PA  19107",Philadelphia,615,5/24/26,Closing
Pittsburgh Post-Gazette,"300 Corliss Street, Pittsburgh, PA  15220",Allegheny,171,5/4/26,Closing
Federal Express Corporation,"1000 Sathers Drive, Pittston, PA  18640",Luzerne,63,5/2/26,Closing
"Saks & Company, LLC","25 Keystone Boulevard, Pottsville, PA 17901",Schuylkill,435,"beginning 5/3/26, ending 5/31/26",Closing
Lineage Logistics,"110 Keystone Boulevard, East Pottsville, PA 17901",Schuylkill,208,5/27/26,Layoff
"Bowhead Logistics Management, LLC","1350 Superior Avenue, Building 57, Chambersburg, PA  17201",Franklin,307,5/10/26,Layoff
LNS Chipblaster,"13605 South Mosiertown Road, Meadville, PA  16335",Crawford,67,9/30/26,Closing
"Church & Dwight Company, Inc.","5197 Commerce Drive, York, PA  17408",York,195,6/30/26,Layoff
"Advantest, Inc.","1660 East Race Street, Allentown, PA 18109",Lehigh,55,6/30/26,Layoff
Durham School Services,"4101 North Delaware Avenue, Philadelphia, PA  19137",Philadelphia,299,6/29/26,Layoff
Juvenile Justice Center of Philadelphia,"100 West Coulter Street, Philadelphia, PA 19144",Philadelphia,17,"beginning 4/30/26, ending 6/30/26",Layoff
"Knouse Foods Cooperative, Inc.","421 Grant Street, Chambersburg, PA 17201",Franklin,148,"beginning 7/6/26, ending 12/31/26",Closure
"Quality Packaging Specialists International, LLC","355 Independence Avenue, Mechanicsburg, PA  17055",Cumberland,83,7/6/26,Closure
Dometic,"640 North Lewis Road, Limerick, PA  19468",Montgomery,89,beginning 9/21/2026; ending 3/31/2027,Closure
"Bush Industries, Inc.","2455 Robison Road West, Erie, PA  16509",Erie,51,4/30/2026,Closure
"GEODIS Logistics, LLC","80 South Middlesex Road, Carlisle, PA  17013",Cumberland,185,8/31/2026,Closure
Calfrac Well Services Corp.,"2001 Summit View Drive, Smithfield, PA  15478",Fayette,75,beginning 7/20/2026; ending 9/30/2027,Closure
Chandler Hall Health Services,"99 Barclay Street, Newtown, PA 18940",Bucks,220,8/1/2026,Closure
"American Expediting Logistics, LLC","1400 North Providence Road, Suite 410, Media, PA  19063",Delaware,86,beginning 6/4/2026; ending 6/30/26,Closure
"WILX Logistics, LLC","1156 Four Star Drive, Mount Joy, PA  17552",Lancaster,70,8/9/26,Closure
JBS Souderton,"249 Allentown Road, Souderton, PA  18964, 741 Souder Road, Souderton, PA  18964",Montgomery,"1,485",8/14/26,Closure
"Vestis Services, LLC","1035 Alpharetta Street, Suite 2100, Roswell, GA  30075 (HEADQUARTERS)",Various,5 (within PA),6/15/26,Layoff
